Assembly accession	Name	NCBI taxonomy	GTDB taxonomy (r214)	External link 1	External link 2	Biosample accession	Bioproject accession	WGS accession	Sequencing platform	Submission date	Submitter	Title	PMID	DOI	Publish_date	Author	Geographic location	Environment	Geographic coordinates	point	Latitude	longitude	Completeness	Contamination	quality	# contigs	Largest contig	Total length	GC (%)	N50	N50	Assembly level
GCA_015231615.1	Desulfamplus_sp._nS315bin44	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__Desulfobacterales;<br>f__Desulfobacteraceae;<br>g__Desulfamplus;<br>s__	d__Bacteria;<br>p__Desulfobacterota;<br>c__Desulfobacteria;<br>o__Desulfobacterales;<br>f__Desulfobacteraceae;<br>g__Desulfamplus;<br>s__Desulfamplus sp015231615	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231615.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231615.1"">GTDB</a>"	SAMN15005462	PRJNA400260	JADGBE000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Qinghai	brackish	38.229771 N 90.697681 E	(38.2346574, 90.7079553, 0.0)	38.2346574	90.7079553	88.39	0.32	Medium	200	216132	3860279	36.17	49168	45269	Scaffold
GCA_015231655.1	Desulfamplus_sp._nS315bin9	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__Desulfobacterales;<br>f__Desulfobacteraceae;<br>g__Desulfamplus;<br>s__	d__Bacteria;<br>p__Desulfobacterota;<br>c__Desulfobacteria;<br>o__Desulfobacterales;<br>f__Desulfobacteraceae;<br>g__Desulfamplus;<br>s__Desulfamplus sp015232465	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231655.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231655.1"">GTDB</a>"	SAMN15005463	PRJNA400260	JADGBF000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Qinghai	brackish	38.229771 N 90.697681 E	(38.2346574, 90.7079553, 0.0)	38.2346574	90.7079553	96.77	1.75	High	195	107956	3171500	37.59	28298	27439	Scaffold
GCA_015231665.1	Gammaproteobacteria_bacterium_nS315bin38	d__Bacteria;<br>p__Proteobacteria;<br>c__Gammaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Gammaproteobacteria;<br>o__Chromatiales;<br>f__Sedimenticolaceae;<br>g__JADGBD01;<br>s__JADGBD01 sp015231665	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231665.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231665.1"">GTDB</a>"	SAMN15005546	PRJNA400260	JADGBD000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Qinghai	brackish	38.229771 N 90.697681 E	(38.2346574, 90.7079553, 0.0)	38.2346574	90.7079553	68.97	0.0	Medium	429	35700	2468585	62.18	6964	5273	Scaffold
GCA_015231685.1	Candidatus_Omnitrophica_bacterium_nS315bin20	d__Bacteria;<br>p__Candidatus Omnitrophica;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Omnitrophota;<br>c__Koll11;<br>o__2-02-FULL-51-18;<br>f__JAGOUK01;<br>g__JADGBA01;<br>s__JADGBA01 sp015231685	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231685.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231685.1"">GTDB</a>"	SAMN15005510	PRJNA400260	JADGBA000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Qinghai	brackish	38.229771 N 90.697681 E	(38.2346574, 90.7079553, 0.0)	38.2346574	90.7079553	63.44	1.08	Medium	200	31349	1377317	56.96	8753	6810	Scaffold
GCA_015231705.1	Desulfamplus_sp._nS315bin3	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__Desulfobacterales;<br>f__Desulfobacteraceae;<br>g__Desulfamplus;<br>s__	d__Bacteria;<br>p__Desulfobacterota;<br>c__Desulfobacteria;<br>o__Desulfobacterales;<br>f__Desulfobacteraceae;<br>g__Desulfamplus;<br>s__Desulfamplus sp015231705	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231705.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231705.1"">GTDB</a>"	SAMN15005461	PRJNA400260	JADGBC000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Qinghai	brackish	38.229771 N 90.697681 E	(38.2346574, 90.7079553, 0.0)	38.2346574	90.7079553	84.62	0.16	Medium	282	75205	3601353	40.67	19749	19353	Scaffold
GCA_015231715.1	Candidatus_Omnitrophica_bacterium_nS315bin24	d__Bacteria;<br>p__Candidatus Omnitrophica;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Omnitrophota;<br>c__Koll11;<br>o__SKK-01;<br>f__SKK-01;<br>g__JADGBB01;<br>s__JADGBB01 sp015231715	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231715.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231715.1"">GTDB</a>"	SAMN15005528	PRJNA400260	JADGBB000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Qinghai	brackish	38.229771 N 90.697681 E	(38.2346574, 90.7079553, 0.0)	38.2346574	90.7079553	51.04	0.0	Medium	115	88017	1495357	37.11	25313	25099	Scaffold
GCA_015231755.1	Magnetococcales_bacterium_nQXH2bin5	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Magnetococcales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Magnetococcia;<br>o__Magnetococcales;<br>f__Magnetaquicoccaceae;<br>g__JAANAU01;<br>s__JAANAU01 sp015231755	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231755.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231755.1"">GTDB</a>"	SAMN15005597	PRJNA400260	JADGAZ000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Innermogolia	freshwater	47.69541 N 119.30422 E	(47.4701009, 119.4432198, 0.0)	47.4701009	119.4432198	98.62	2.52	High	44	309908	3842963	59.16	133818	132314	Scaffold
GCA_015231775.1	Magnetococcales_bacterium_nQXH2bin1	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Magnetococcales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Magnetococcia;<br>o__Magnetococcales;<br>f__Magnetaquicoccaceae;<br>g__JAANAU01;<br>s__JAANAU01 sp015231775	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231775.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231775.1"">GTDB</a>"	SAMN15005596	PRJNA400260	JADGAY000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Innermogolia	freshwater	47.69541 N 119.30422 E	(47.4701009, 119.4432198, 0.0)	47.4701009	119.4432198	92.24	1.68	High	389	55544	3820765	61.35	19017	18683	Scaffold
GCA_015231795.1	Alphaproteobacteria_bacterium_nQXH1bin1	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales;<br>f__WMHbin7;<br>g__WMHbin7;<br>s__WMHbin7 sp015231795	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231795.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231795.1"">GTDB</a>"	SAMN15005543	PRJNA400260	JADGAX000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Innermogolia	freshwater	47.74777 N 119.33694 E	(47.771781, 119.393191, 0.0)	47.771781	119.393191	98.51	0.5	High	23	869793	3628312	59.95	458012	458012	Contig
GCA_015231815.1	Nitrospinae_bacterium_nPCRbin9	d__Bacteria;<br>p__Nitrospinae;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Nitrospinota;<br>c__JADGAW01;<br>o__JADGAW01;<br>f__JADGAW01;<br>g__JADGAW01;<br>s__JADGAW01 sp015231815	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231815.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231815.1"">GTDB</a>"	SAMN15005483	PRJNA400260	JADGAW000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	Australia: Punkally Creek	brackish	36.23413 S 150.06798 E	(-36.2319047, 150.0712607, 0.0)	-36.2319047	150.0712607	79.81	1.71	Medium	410	59515	2645008	37.05	7923	7923	Scaffold
GCA_015231825.1	SAR324_cluster_bacterium_nPCRbin7	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__SAR324;<br>c__SAR324;<br>o__SAR324;<br>f__GCA-2753255;<br>g__JADGAV01;<br>s__JADGAV01 sp015231825	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231825.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231825.1"">GTDB</a>"	SAMN15005612	PRJNA400260	JADGAV000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	Australia: Punkally Creek	brackish	36.23413 S 150.06798 E	(-36.2319047, 150.0712607, 0.0)	-36.2319047	150.0712607	92.94	0.42	High	81	489404	5795165	44.77	123521	117423	Scaffold
GCA_015231855.1	Zetaproteobacteria_bacterium_nPCbin1	d__Bacteria;<br>p__Proteobacteria;<br>c__Zetaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Zetaproteobacteria;<br>o__Mariprofundales;<br>f__Mariprofundaceae;<br>g__GCA-2753275;<br>s__GCA-2753275 sp002753275	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231855.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231855.1"">GTDB</a>"	SAMN15005606	PRJNA400260	JADGAS000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	Australia: Painkalac Creek	brackish	38.46575 S 144.09288 E	(-38.4660057, 144.0924743, 0.0)	-38.4660057	144.0924743	99.58	0.84	High	68	276500	2016854	47.46	56539	40852	Scaffold
GCA_015231865.1	Gammaproteobacteria_bacterium_nPCRbin5	d__Bacteria;<br>p__Proteobacteria;<br>c__Gammaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Gammaproteobacteria;<br>o__GRL18;<br>f__GRL18;<br>g__JADGAU01;<br>s__JADGAU01 sp015231865	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231865.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231865.1"">GTDB</a>"	SAMN15005545	PRJNA400260	JADGAU000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	Australia: Punkally Creek	brackish	36.23413 S 150.06798 E	(-36.2319047, 150.0712607, 0.0)	-36.2319047	150.0712607	93.38	0.75	High	299	109170	3543812	34.87	21360	21360	Contig
GCA_015231885.1	SAR324_cluster_bacterium_nPCRbin10	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__SAR324;<br>c__SAR324;<br>o__SAR324;<br>f__GCA-2753255;<br>g__GCA-2753255;<br>s__GCA-2753255 sp002753255	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231885.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231885.1"">GTDB</a>"	SAMN15005613	PRJNA400260	JADGAT000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	Australia: Punkally Creek	brackish	36.23413 S 150.06798 E	(-36.2319047, 150.0712607, 0.0)	-36.2319047	150.0712607	90.84	0.0	High	241	290123	5133600	42.0	50150	46184	Scaffold
GCA_015231915.1	Magnetococcales_bacterium_nNGHbin2	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Magnetococcales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Magnetococcia;<br>o__Magnetococcales;<br>f__Magnetaquicoccaceae;<br>g__WMHbin3;<br>s__WMHbin3 sp015231915	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231915.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231915.1"">GTDB</a>"	SAMN15005595	PRJNA400260	JADGAR000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Innermogolia	freshwater	47.9275 N 119.54638 E	(48.0676111, 119.0431367, 0.0)	48.0676111	119.0431367	96.47	3.36	High	133	144624	4022416	61.98	48446	48161	Scaffold
GCA_015231925.1	Magnetococcales_bacterium_nNGHbin14	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Magnetococcales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Magnetococcia;<br>o__Magnetococcales;<br>f__JADGAQ01;<br>g__JADGAQ01;<br>s__JADGAQ01 sp015231925	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231925.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231925.1"">GTDB</a>"	SAMN15005555	PRJNA400260	JADGAQ000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Innermogolia	freshwater	47.9275 N 119.54638 E	(48.0676111, 119.0431367, 0.0)	48.0676111	119.0431367	94.12	2.1	High	358	97151	4514666	60.22	20051	17861	Scaffold
GCA_015231955.1	Oligoflexia_bacterium_nN3bin31	d__Bacteria;<br>p__Proteobacteria;<br>c__Oligoflexia;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Bdellovibrionota;<br>c__Bacteriovoracia;<br>o__Bacteriovoracales;<br>f__Bacteriovoracaceae;<br>g__JADGAN01;<br>s__JADGAN01 sp015231955	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231955.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231955.1"">GTDB</a>"	SAMN15005451	PRJNA400260	JADGAN000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Innermogolia	freshwater	41.549487 N 109.05952 E	(41.5819857, 109.2005288, 0.0)	41.5819857	109.2005288	91.07	2.68	High	114	409610	5611739	40.9	99534	93036	Scaffold
GCA_015231965.1	Magnetococcales_bacterium_nNGHbin13	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Magnetococcales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Magnetococcia;<br>o__Magnetococcales;<br>f__JADGAP01;<br>g__JADGAP01;<br>s__JADGAP01 sp015231965	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231965.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231965.1"">GTDB</a>"	SAMN15005550	PRJNA400260	JADGAP000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Innermogolia	freshwater	47.9275 N 119.54638 E	(48.0676111, 119.0431367, 0.0)	48.0676111	119.0431367	95.66	0.0	High	314	55101	3824539	63.09	18740	18289	Scaffold
GCA_015231995.1	Nitrospinae_bacterium_nNGHbin12	d__Bacteria;<br>p__Nitrospinae;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Nitrospinota;<br>c__UBA7883;<br>o__UBA7883;<br>f__JACRLM01;<br>g__JADGAO01;<br>s__JADGAO01 sp015231995	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015231995.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015231995.1"">GTDB</a>"	SAMN15005485	PRJNA400260	JADGAO000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Innermogolia	freshwater	47.9275 N 119.54638 E	(48.0676111, 119.0431367, 0.0)	48.0676111	119.0431367	88.82	1.2	Medium	358	52612	3233461	54.84	12205	10659	Scaffold
GCA_015232015.1	Oligoflexia_bacterium_nN3bin16	d__Bacteria;<br>p__Proteobacteria;<br>c__Oligoflexia;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Bdellovibrionota;<br>c__Bacteriovoracia;<br>o__Bacteriovoracales;<br>f__Bacteriovoracaceae;<br>g__JADFZW01;<br>s__JADFZW01 sp015232015	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015232015.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015232015.1"">GTDB</a>"	SAMN15005450	PRJNA400260	JADGAM000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Innermogolia	freshwater	41.549487 N 109.05952 E	(41.5819857, 109.2005288, 0.0)	41.5819857	109.2005288	83.77	1.79	Medium	413	91339	4908165	31.52	18191	16199	Scaffold
GCA_015232025.1	Alphaproteobacteria_bacterium_nN3bin14	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales;<br>f__Magnetospirillaceae;<br>g__JADFZP01;<br>s__JADFZP01 sp015232025	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015232025.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015232025.1"">GTDB</a>"	SAMN15005540	PRJNA400260	JADGAL000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Innermogolia	freshwater	41.549487 N 109.05952 E	(41.5819857, 109.2005288, 0.0)	41.5819857	109.2005288	70.68	0.75	Medium	499	54722	3735703	67.66	9763	9548	Scaffold
GCA_015232035.1	Desulfamplus_sp._nN2-2bin5	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__Desulfobacterales;<br>f__Desulfobacteraceae;<br>g__Desulfamplus;<br>s__	d__Bacteria;<br>p__Desulfobacterota;<br>c__Desulfobacteria;<br>o__Desulfobacterales;<br>f__Desulfobacteraceae;<br>g__Desulfamplus;<br>s__Desulfamplus sp015232555	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015232035.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015232035.1"">GTDB</a>"	SAMN15005472	PRJNA400260	JADGAK000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Innermogolia	freshwater	41.549487 N 109.05952 E	(41.5819857, 109.2005288, 0.0)	41.5819857	109.2005288	80.97	0.65	Medium	215	66927	3179296	37.93	18110	12452	Scaffold
GCA_015232055.1	Alphaproteobacteria_bacterium_nN2-2bin2	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales;<br>f__Magnetospirillaceae;<br>g__JADFZP01;<br>s__JADFZP01 sp015232485	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015232055.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015232055.1"">GTDB</a>"	SAMN15005539	PRJNA400260	JADGAJ000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Innermogolia	freshwater	41.549487 N 109.05952 E	(41.5819857, 109.2005288, 0.0)	41.5819857	109.2005288	76.25	0.5	Medium	602	37326	4101610	67.51	8398	7096	Scaffold
GCA_015232095.1	Alphaproteobacteria_bacterium_nN2-2bin1	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales;<br>f__Magnetospirillaceae;<br>g__Magnetospirillum;<br>s__Magnetospirillum moscoviense	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015232095.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015232095.1"">GTDB</a>"	SAMN15005541	PRJNA400260	JADGAI000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Innermogolia	freshwater	41.549487 N 109.05952 E	(41.5819857, 109.2005288, 0.0)	41.5819857	109.2005288	99.5	0.5	High	129	189745	4326798	65.17	58814	58814	Scaffold
GCA_015232115.1	Nitrospirota_bacterium_nMYbin6	d__Bacteria;<br>p__Nitrospirae;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Nitrospirota;<br>c__Thermodesulfovibrionia;<br>o__Thermodesulfovibrionales;<br>f__Magnetobacteriaceae;<br>g__Magnetominusculus;<br>s__Magnetominusculus sp002753305	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015232115.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015232115.1"">GTDB</a>"	SAMN15005500	PRJNA400260	JADGAH000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Beijing, Lake Miyun	freshwater	40.48874 N 117.00714 E	(40.4759523, 117.018088, 0.0)	40.4759523	117.018088	85.64	5.45	Medium	171	159608	3404042	47.77	27655	25477	Scaffold
GCA_015232135.1	Magnetococcales_bacterium_nMYbin5	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Magnetococcales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Magnetococcia;<br>o__Magnetococcales;<br>f__DC0425bin3;<br>g__HA3dbin3;<br>s__HA3dbin3 sp015231175	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015232135.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015232135.1"">GTDB</a>"	SAMN15005561	PRJNA400260	JADGAG000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Beijing, Lake Miyun	freshwater	40.48874 N 117.00714 E	(40.4759523, 117.018088, 0.0)	40.4759523	117.018088	52.67	0.42	Medium	376	31340	2249923	56.15	6976	6377	Scaffold
